"E8033100","E8043100","E8043500","R0000100","R0070700","R0343700","R0344200","R0344900","R0360300","R0360400","R0360500","R0365900","R0366000","R0536300","R0536401","R0536402","R0648900","R1204500","R1235800","R1482600"
0,0,0,243,2,1,0,4,0,0,0,0,-4,2,2,1983,0,-3,1,3
0,0,0,244,1,1,5,6,0,0,0,0,-4,1,3,1983,0,26000,1,2
0,0,0,245,1,1,1,4,0,0,0,0,-4,2,7,1984,-4,-4,1,4
0,0,0,246,2,-4,-4,-4,0,0,0,0,-4,1,10,1980,0,-3,1,2
1,0,0,247,1,-4,-4,-4,1,0,0,0,-4,1,3,1982,0,24850,1,4
0,0,0,248,2,3,0,1,0,0,0,0,-4,2,9,1983,0,24850,1,4
0,0,0,249,1,-4,-4,-4,1,0,1,0,-4,1,8,1981,-4,-4,1,4
5,1,12,250,3,-4,-4,-4,1,1,1,1,1,1,9,1981,0,94250,1,4
0,0,0,251,1,-4,-4,-4,0,0,0,0,-4,1,4,1982,0,37500,1,2
0,0,0,252,2,3,0,1,0,0,0,0,-4,2,7,1984,0,37500,1,2
0,0,0,253,1,3,0,4,0,0,0,-1,-4,2,9,1984,-4,-4,1,4
0,0,0,254,3,-4,-4,-4,0,0,0,0,-4,1,8,1981,0,-3,1,4
0,0,0,255,2,3,0,4,1,0,0,0,-4,2,7,1983,0,-3,1,4
2,0,0,256,1,-4,-4,-4,0,0,0,0,-4,1,8,1980,0,43000,1,4
2,0,0,257,2,1,1,2,0,0,0,0,-4,1,5,1984,0,43000,1,4
0,0,0,258,2,-4,-4,-4,0,0,0,0,-4,1,11,1982,-4,-4,1,4
0,0,0,259,1,-4,-4,-4,0,0,0,-1,-4,1,12,1981,0,-3,1,4
0,0,0,260,1,-4,-4,-4,0,0,0,0,-4,1,12,1980,-4,-4,1,1
2,0,0,261,2,1,1,4,0,1,0,0,-4,1,4,1983,0,-3,1,1
0,0,0,262,3,-4,-4,-4,0,0,0,0,-4,1,9,1980,-4,-4,1,1
1,0,0,263,2,3,0,1,1,0,0,0,-4,1,7,1983,-4,-4,1,1
0,0,0,264,1,-4,-4,-4,1,0,0,0,-4,1,7,1982,-4,-4,1,4
0,0,0,265,2,1,0,4,1,0,1,0,-4,1,9,1983,0,19000,1,2
0,0,0,266,2,-4,-4,-4,1,1,0,0,-4,2,12,1980,0,54800,1,4
0,0,0,267,3,-4,-4,-4,1,0,0,0,-4,2,12,1980,0,32010,1,4
0,0,0,268,1,-4,-4,-4,0,0,0,0,-4,1,12,1981,0,71100,1,2
3,0,0,269,1,-4,-4,-4,0,0,0,1,1,2,6,1981,0,82500,1,4
3,0,0,270,2,1,0,4,1,1,0,0,-4,2,1,1984,0,82500,1,4
0,0,0,271,1,-4,-4,-4,1,0,0,0,-4,2,8,1982,0,65400,1,4
1,0,0,272,4,-4,-4,-4,0,0,0,0,-4,2,9,1982,0,-3,1,2
0,0,0,273,1,1,0,6,1,0,0,0,-4,2,4,1983,-4,-4,1,2
0,0,0,274,2,-4,-4,-4,1,0,0,0,-4,2,8,1980,0,24,1,2
0,0,0,275,1,-4,-4,-4,0,0,0,0,-4,1,12,1980,-4,-3,1,2
0,0,0,276,3,-4,-4,-4,0,0,0,0,-4,2,1,1982,0,24,1,2
1,0,0,277,4,1,0,4,1,0,0,0,-4,1,2,1984,0,24,1,2
0,0,0,278,1,-4,-4,-4,0,0,0,0,-4,1,9,1980,0,62040,1,4
0,0,0,279,1,-4,-4,-4,0,0,1,0,-4,1,4,1981,0,246474,1,4
1,0,0,280,2,3,0,4,0,0,0,0,-4,1,5,1983,0,246474,1,4
2,0,0,281,1,3,3,1,1,0,0,0,-4,1,12,1984,1,3750,1,1
8,0,0,282,1,-4,-4,-4,1,0,1,1,6,1,6,1980,0,-3,1,4
0,0,0,283,1,3,2,1,1,0,0,0,-4,1,5,1984,0,-3,1,4
0,0,0,284,1,-4,-4,-4,1,0,0,0,-4,2,3,1981,1,-3,1,1
0,0,0,285,2,-4,-4,-4,1,0,0,0,-4,1,2,1981,0,-3,1,4
0,0,0,286,1,1,0,4,0,0,0,0,-4,2,9,1984,-4,-4,1,4
0,0,0,287,2,-4,-4,-4,1,1,0,0,-4,1,5,1980,0,-3,1,4
0,0,0,288,1,1,0,4,0,0,0,0,-4,2,10,1983,0,-3,1,4
0,0,0,289,1,1,0,4,0,0,0,0,-4,2,10,1984,0,-3,1,4
0,0,0,290,3,1,0,1,1,1,0,0,-4,2,1,1984,0,70000,1,4
1,0,0,291,2,-4,-4,-4,1,0,0,0,-4,2,6,1980,0,57200,1,4
0,0,0,292,1,3,0,1,0,0,0,0,-4,2,9,1984,0,29400,1,1
0,0,0,293,2,1,0,4,1,0,0,0,-4,2,11,1983,0,72000,1,2
0,0,0,294,3,-4,-4,-4,1,0,0,0,-4,1,5,1982,-4,-4,1,2
1,0,0,295,1,1,0,4,1,0,0,0,-4,2,9,1984,0,100500,1,2
0,0,0,296,1,-4,-4,-4,1,0,0,0,-4,2,12,1981,0,45000,1,2
1,0,0,297,1,2,-4,-4,0,0,0,0,-4,1,7,1984,0,45000,1,2
